@RELATION relevance
@ATTRIBUTE tweet STRING
@ATTRIBUTE class 	{1, 0}
@DATA
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"De Guzman brengt Cillessen bijna in de problemen. De Ajax-goalie kan echter wegwerken. De scherpte ontbreekt. #ausned http://t.co/RzN4VBXZ3q",0
"ik schreeuw dehele tijd goal als australie in de buurt van t goal komt omdat ik gwn grappig ben",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"#ausned Wanneer maken ze nou een doelpunt? Dat is toch de bedoeling?",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"#DeJong #verkeerd #bezig. Wordt zo #geel voor hem • #ausned",0
"☻ RT: @ConradNL Hebben de Australiërs wel gelet op dit waarschuwingsbord? #ausned #ausnet #WK2014 @Socceroos #dtv http://t.co/FGBhosEwp4",0
"Dat broodje Unox in de vroege ochtend ligt de jongens nog wat zwaar op de maag denk ik #ausned",0
"Het is net of we naar Brazilië-Frankrijk kijken.. ;) #geelgroenblauw #ausned #wk2014",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"Het is de 1e keer dat ik de beamer inschakel vóór de les begint. Er is iets loos met de kleuren: ik zie alleen groen, geel, blauw. #ausned",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
""@MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal"",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"Kom op maak nou is een goal#nederland#worldcup2014",0
"Zo begon de wetstrijd van Spanje ong. Ook dus hopen dat we nog een paar goaltjes scoorden #ausned #RT",0
"ey scoor nou eem een fucking goal we kunne echt wel beter zijn dan australie hoor #NED",0
"Ik erger me nu al groen en geel. #ausned",0
"Twaalf minuten onderweg en de wave gaat al door het stadion. Kippenvel. Nu nog een paar Oranje-goals en we zijn helemaal gelukkig #ausned",0
"Ja, saai. Bij ieder blauw mannetje staat een geel mannetje. Slim hoor, als je niet kan winnen dan maar zorgen dat NL niet scoort he #ausned",0
"Gaat het vandaag weer een doelpunten-festival worden? ;) #ausned #wk2014 http://t.co/4hCaifBs3d",0
"Jullie hebben een bal, er is een goal. Die eerste moet ik die laatste. Een paar keer zelfs. Zeg 't maar even, Oranje. #ausned",0
"Misschien hebben ze gewoon die boost van vorige keer nodig dat australië gewoon ff een goal moet maken",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"Ik zou even een rokende barbecue bij de cornervlag zetten. Zijn ze zo afgeleid die Aussies #ausned",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"Ik moet ze gaan verkopen. Als jullie nu ook even voor mij ze verder (in de goal) kijken. #ausned #wk14",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"Waarom zijn die met die gele shirtjes zo veel aan de bal? #ausned",0
"Als er sneeuw was of mistig zou zijn dan kon ik de fluo schoenen nog snappen #wk2014 #ausned",0
"en nederland speelt echt slecht vergeleken toen ze tegen spanje moesten",0
"@KrampGroup veel succes! Geven jullie morgen ook 10% extra korting per gemaakt nederlands doelpunt?",0
"We spelen in het blauw met klein beetje oranje niet in het geel groen #ausned",0
"@verweijkoen Klaar voor je voetbaltweets, hopelijk allemaal doelpunt tweets voor NL 😉 #ausned",0
"tja.. als ze zo door gaan is het zo een goal voor australië #nedaus",0
"Wie er bij Australië in de goal staat kun je wel Ryan. #twelftal #ausned #wk2014",0
"wtf straks een eigen doelpunt om dit baggerspel te toppen! #ausned",0
"Wat een gepruts zeg.. Veel te veel onnodig balverlies van Nederland. Het is wachten op een goal van Australië zo..! #ausned",0
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"Ik had een kaart verstuurd maar die is niet aangekomen omdat er te weinig porto alegre opzat. #ausned",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"RT @Romyvdijkx: "@MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal"",0
"Peuter dochter (3jr):'Ik denk dat de gele gaan winnen.' #ausned",0
"Gaat hij nog kaarten uitdelen #ausned",0
"Mooi rustig op de weg. Op zo'n moment kan je mooi met je auto door een rood stoplicht rijden. #ausned",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"#VanPersie kan de vrije trap vanaf de zijkant verlengen, maar een makkelijk prooi voor de goalie. http://t.co/1NC7R0Q8Xy #ausned #wk2014",0
"Vliegt tijdens DE wedstrijd een jonge merel keihard tegen raam Auw! Ben even afgeleid nu. Waar is de moeder? #ausned http://t.co/sukMOliTaq",0
"Heeft @hnky al een biertje? #doelpuntbijelkbiertje #ausned",0
"LOL “@MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal”",0
"Nou waar blijven die doelpunten Holland?! #ausned",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"Een duwtje en Robben vliegt bijna even hard als Van Persie bij die goal. #ausned",0
"RT @ArnhemSimone: Peuter dochter (3jr):'Ik denk dat de gele gaan winnen.' #ausned",0
"Mocht #Australia een doelpunt maken dan roepen we met z'n allen: "hij Sidney!"#ausned",0
"De Australische keeper speelt in het rood. Kwam zonet nat 18 minuten een eerste keer in beeld! #ausned",0
"RT @ArnhemSimone: Peuter dochter (3jr):'Ik denk dat de gele gaan winnen.' #ausned",0
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"Ff doelpuntje voor australië dan zijn ze wakker",0
"als australië eerst een doelpunt maakt dan raakt nederland gemotiveerder en gaan ze beter spelen",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"Geloof niet dat Sneijder vandaag al een fatsoenlijke bal heeft afgeleverd #ausned",0
"1 kans, 1 doelpunt. Doen ze niet verkeerd. #ausned",1
"Wat een negatief commentaar zeg #nos #ausned #wk2014 En dan een doelpunt!!!",1
"Nou, behalve dat doelpunt dan. #ausned",1
"@bashoogland wooooowwwww goalllll 1-0 !!!!!!! Voor nederland",1
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"Wat een geweldig doelpunt weer, Arjen Robben toch. #ausned",1
"Lol de eerste kans is een goal #ausned",1
"Mooie goal van Robben. #huphollandhup #ausned",1
"Goal goal goal !!! #Robben #AUSPB gaat naar nederland!",1
"Robben met het doelpunt #ausned",1
"lekker goaltje van robben #ausned",1
"RT @VOETBALHUMORcom: #ADO-fans: "Dikke lul met je groengeel. Vandaag is #Oranje de kleur die we gaan toejuichen." #ausned",0
"goal! 0-1 voor nederland! go robben!",1
"RT @Mathijs_2012: Lol de eerste kans is een goal #ausned",1
"Kijk, even geduld en je krijgt wel goals :p #ausned",1
"Nou, dat werd tijd! Lekker goaltje! #ausned",1
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"Mijn tweet is heilig, plotseling een doelpunt toen ik hem stuurde #PausNiels #ausned",1
"Mooie goal van Robben! #ausned",1
"Fak, ik twitter door het doelpunt heen... #ausned",0
"Yesssss!!!! We zien wel dat we niet continue aan de bal hoeven te zijn om te kunnen scoren!!! Heerlijk doelpunt van de meester!! #ausned",1
"Mooie goal van robben #ausned",1
"Had hij 4 jaar geleden moeten doen 😜 #ausned",0
"Jongste en ik kijken samen #ausned en juichten net bij de eerste goal. Jeuj! De kat blijft onverstoorbaar zitten. http://t.co/fDPoLTOcl4",0
"RT @Franscfs: Nou, dat werd tijd! Lekker goaltje! #ausned",1
"#WorldCup2014 #ausned. En dan een goede goal. Lekkah",1
"Ik leer, de rest van nederland kijkt voetbal. Zo te horen heeft nederland n doelpunt. De buurt schreeuwt.",1
"Een mooi doelpunt, maar wel onverdiend gezien het matige spel van de afgelopen 20 minuten. #ausned #wk2014",1
"GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"1 kans 1 goal!! Zo kom je ver! #ausned",1
"#wk2014 daar is ie dan!!!!!! HOPPA de 1e #goal #ausned",1
"Mooie goal, echte doorzetter die Robben. #ausned",1
"#goalHollandal En dat is 1 voor Holland, jammer voor onze Jason Davidson (Van Australie) van Heracles :-) #nedaus #ausned",1
"dan zegt @_idkitsimrex is dit een goal voor nederland 😥😓😊",1
"ROBBENN 1-0!!! Weer een mooie goall #ausned",1
"GOAAAL! Nederland komt op een 0-1 voorsprong tegen Australië! Arjen Robben schuift hem diagonaal in de goal. #ausned",1
"Jezus wat een goal australie..",1
"Klasse druipt er van af. Weer schitterende goal Robben. #ausned",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"Arjen Robben: één goal per 37 minuten op dit WK. #ausned",1
"Vreemd... De score app geeft doelpunt aan terwijl de goal op TV nog moet vallen #ausned 0-1 sorry 1-1",0
"Wat een goal van australie ;o",1
"Jezus christus. Wat een doelpunt zeg. De tering. #ausned",1
"Godsamme wat een goal, niet normaal 1-1 #ausned",1
"Wauw mooi doelpunt van australie",1
"ga toch weg met je doelpunt @australie",1
"Vol mooie goal vam australie",1
"En de eerste goal is alweer gemaakt door ROBBE #ausned",1
"Tfoe een gekke doelpunt van australie",1
"Serieus wat een kutgoal van australie",1
"De goal van het WK!!!! Cahill #ausned",1
"Wat een doelpunt! #cahill #ausned",1
"RT @harryvermeegen: 1 kans 1 goal!! Zo kom je ver! #ausned",1
"De NOS commentator spreekt alsof we al zijn uitgeschakeld. YESS 0-1! De man mag naar huis. #ausned ..uhh Oeps 1-1",0
"Wtf ik knipper en australie maakt een doelpunt #ausned",1
"Shit!!! Wel een mooi doelpunt! #ausned",1
"Woow fucking mooi doelpunt australie",1
"Jezus. 1-1 Cahill. Mooie goal.... #ausned",1
"Wat een GEWELDIG doelpunt van Cahill 1-1 #ausned",1
"Dat was wel een mooi goal #ausned",1
"Wow! Wat een prachtige goal van Cahill. #ausned",1
"Wat een goal 1-1 #ausned",1
"Kutzooi 1-1 wel een prachtgoal #Cahill #ausned",1
"Tering. Wat een goal. #ausned",1
"Kijk hoe blij australië is met die goal en kijk naar nederland als ze scoren 😂😂",0
"Zo wat wen goal hahaha #ausned 1-1",1
"Hahaha goal van het toernooi! Tim cahill #ausned",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"Wat een goal van Cahill, direct uit de aftrap! #ausned",1
"Zo wat een goal van australie!!!",1
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
"lekker opgelet weer. 1-1 #ausned",1
"RT @harryvermeegen: 1 kans 1 goal!! Zo kom je ver! #ausned",1
"Oh hé godverdomme ,maar wat een goal zeg... #1-1 #ausned",1
"Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @harryvermeegen: 1 kans 1 goal!! Zo kom je ver! #ausned",1
"Gvd 1-1 #ausned fk mooie goal",1
"Whaaatt, meteen goal voor australie",1
"@bashoogland #goalhollandal hoppaaaaaaaaa Robben. Niet mooi, wel effectief. #ausned en ook alweer 1-1. Wordt mooie pot zo.",1
"Hahaha lekkere goals hoor #ausned",1
"Holy moly wat een goal! #ausned",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"Huh wtf meteen tegengoal doe normaal kut australie",1
"En meteen 1-1! Wat een goal! Cahill #ausned",1
"Oeps. Maar wat een mooi doelpunt #ausned",1
"???? Nu al een doelpunt van australie",1
"Wow.... Over mooie goals gesproken... 1-1 ... #ausned",1
"Wat een goal van Cahill! #ausned",1
"Neee tyfus was een doelpunt 1-1 .. #ausned",1
"Godver 1-1.... Wel mooi doelpunt van australie",1
"Teringgggg mooi doelpunt van die aussie #ausned #FIFAMaffia #WK2014",1
"toen had die fucking australie ook een goal.",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"wtf lekker goal van australië",1
"soww he prachtige goal mag ook gezegd worden #ausned",1
"nou lekker @dickvanderplas..... 2 doelpunten gemist. En bedankt! #ausned",0
"kut doelpunt van australie",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Wat een goal van Cahill. Wat een goal. #ausned",1
"Ondanks dat het tegen #NED is: wat een prachtige goal van Cahill! #AUS #ausned",1
"Wat een goal en wat een goal... #ausned",1
"Watttt een minuut geleden 1-0 voor nederland nu 1-1",1
"BAM, Australië erin en een prachtige goal ! Dit word toch nog een leuke wedstrijd. #ausned",1
"RT @J_Matondo: Wtf ik knipper en australie maakt een doelpunt #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Alle respect voor Tim Cahill. Wat een schitterende goal van Australië. Jammer dat Nederland niet scherp is. #ausned",1
"Zoo!!! Die zat!! Wat een beste goal!! #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"goed opgelet nederland",0
"Neeeeeeeee ;( niet een goal voor australie",1
"Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele klasse hebben",1
"1-1 Cahill scoort voor Australië met een schitterende goal #sportwereld #ausned",1
"1-1😞 maar wel een mooie goal #ausned",1
"En gelijk de 1-1 van Cahill, wel mooie goal #ausned",1
"Pffffff Cahill.....wat een goal #ausned",1
"Wat-een-goal. #ausned",1
"Jaaaaaa! Tim Cahill. En dit is een mooie goal! #AUS #ausned #Aussiepower",1
"Wow mooie goal! #ausned",1
"Golazo ;oo mooie goal australie 1-1",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Bordjes weer in evenwicht! Wat een goal van #cahill #aus #ned #ausned #wk2014",1
"Wow 1-1 wat een wereldgoal. De match ontploft! #ausned #sporza",1
"Zoooo dat was me een goal van australie joh....",1
"Wat een doelpunt voor australie",1
"Mooie goal van australie woah",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @FOXSportsnl: GOAL! 1-0 voor Oranje dankzij een doelpunt van Arjen Robben. Hij schiet keurig diagonaal binnen! #ausned: 0-1",1
"En het staat weer gelijk, en wat een fantastisch doelpunt van #cahill 1-1 #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Terecht wat een wereldgoal #ausned",1
"Ook een lekkere goal trouwens. #ausned",1
"jaaaaaaa!!!!!!!!!!! 0-1 #ausned en gelijk daarna neeeeeeee!!!! 1-1 en dat is ook een mooi doelpunt.... #auw",1
"Zo dat ging snel 1-1. #Cahill. Mooie goal hoor. #ausned #wk2014",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Zooooo! Mooie goal zeg! #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Wtf hoe snel was dat doelpunt van australie",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Haha wat zei ik. Maar goede goal hoor Aussies #ausned",1
"RT @spooky1611: Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele k…",1
"ik durf te wedden dat niemand in nederland dat doelpunt van australie heeft gezien",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Wel mkkie doelpunt van australie",1
"En Nederland is nog niet bijgekomen van de goal en het wordt al gelijk, Australië scoort de 1-1. #ausned",1
"was wel mooie goal van australie",1
"Sjongjonguh 1-1 -.- #ausned maar wat een goal!!",1
"Echt mooi doelpunt van australie",1
"Hartpijn wat een goal.. Van australie..",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @Danskovic_: Whaaatt, meteen goal voor australie",1
"woohowww da gaat ier goe vooruit!!!!! 2 goals in ne minuut #ausned #WorldCup2014",1
"wa een prachtige goal van australië",1
"Wel een mooie goal. Eerlijk is eerlijk. #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Kerel maakt de goal van zn leven #ausned",1
"RT @spooky1611: Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele k…",1
"RT @frankboxem: En gelijk de 1-1 van Cahill, wel mooie goal #ausned",1
"Nu al 2 geweldige doelpunten, dat moet je zeggen. #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Wat een mooi doelpunt van Australië ! #ausned",1
"oke waar kwam die goal plotseling vandaan australie??",1
"Maar wat een doelpunt! 1-1 #ausned #WK2014",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @spooky1611: Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele k…",1
"Whahaha australië ff snel goal gemaakt",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Tering tieten wat een goal #cahill #ausned",1
"Robbe net een goal gemaakt #ausned http://t.co/qtSB1VCcG0",1
"Wat een heerlijke goal van Cahill zeg. Uit een volley, onderkant lat. Chapeau. http://t.co/1NC7R0Q8Xy #ausned #wk2014",1
"Wel een super mooi goal voor australie",1
"Robben met de goal en binnen de minuut maar Cahill wonderschoon gelijk. #ausned #wkveiling",1
"Wat een goal van australie",1
"Lekker van australië, dats nou een mooie goal",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Mis ik gewoon doelpunt Australië #ausned",1
"Lekker goal 1-1 #ausned",1
"De vreugde was van korte duur... Super mooi doelpunt... Dat dan weer wel... #ausned",1
"RT @meemetoranje: Wat een goal van Cahill, direct uit de aftrap! #ausned",1
"Het loopt van geen meter zegt de commentator #ausned en binnen 2 minuten 2 doelpunten",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Wat een doelpunt zeg.. #cahill #ausned",1
"Oh jan, Cahill toch, wat een goal #ausned #wk2014",1
"Is wel kk mooie goal van australië",1
"1-1. Wat een goal van Cahill. #ausned",1
"@rutgersmit mooie goal! #ausned",1
"Mooie goal van Cahill! #ausned",1
"Wel echt een heerlijke goal van australië",1
"Maar was wel mooi doelpunt van australie",1
"zeker een mooie goal australie",1
"En alweer 1-1, wel mooie goal van australie",1
"@bashoogland en dat zijn er 3 ;) #ausned #goalHOLLANDAL",0
"What just happened?! #ausned mooie goal Aussies... beetje jammer, dat dan weer wel.",1
"RT @spooky1611: Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele k…",1
"Wat een match , wat een goal #ausned",1
"Zeg beste Australiërs, ik was nog even een tweet over het doelpunt van Robben aan het dichten.. #ausned",0
"Wat een goal wel zeg… Wauw. #ausned 1-1",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @J_Matondo: Wtf ik knipper en australie maakt een doelpunt #ausned",1
"Damn, mooi doelpunt #ausned",1
"Dat gaat wel erg snel, aftrap goal 1-1 #ausned",1
"Niet scherp zijn na een eigen goal. Dat gebeurt zoooooooo vaak #ausned",1
"Wel een mooie goal van australië",1
"Nederland heeft niet lang feest kunnen vieren, wat een goal! #ausned",1
"Wel mooie goal van australie.. Dat doen wij niet na",1
"Wél een bijzonder mooi goal voor de aussies...! #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @phoogwerf: Hartpijn wat een goal.. Van australie..",1
"Wereldgoal! Terecht ook. Wat een schillenwedstrijd van NL tot nu toe... #ausned",1
"jesus kut australie wel een mooii goal .",1
"Verkeerde land, maar wat een goal..#ausned",1
"1-1 door een schitterende goal van Cahill #ausned. Een wereldgoal",1
"Wel mooie goal maar slecht van nederland",1
"The fuck.... Ik ben nog met me vorige tweet bezig en het staat 1-1... Wel een wereldgoal! Zo maakt ie 'm een keer in zijn leven. #ausned",1
"RT @spooky1611: Moooieee goal hoor cahill! Precies wat ik verwacht had dit spelbeeld. Zo speelt nederland, moeten t van de individuele k…",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Oh, ik was nog aan het juichen om de goal, maar toen was het alweer 1-1 #nedaus #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Robben #goalHollandal en ik heb nog niet getweet of 1-1 #ausned Zucht",1
"RT @denblijkerr: ik durf te wedden dat niemand in nederland dat doelpunt van australie heeft gezien",0
"Wel mooie goal aus #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"Kut 1-1 wel een prachtige goal #ausned",1
"RT @OnsOranje: Ok. Applaus. Ook van ons. Wat een wereldgoal, 1-1. #ausned http://t.co/XjZLTehdq5",1
"En hopsakee 1-1 #ausned slordig nl. Mooi doelpunt #aus",1
"RT @bastiaanpieters: wtf lekker goal van australië",1
"Als je je verslikte in een pinda had je 2 goals kunnen missen #ausned",0
"Zet Robben bij de rode duivels en we worden los wereldkampioen #ausned",0
"Holy shit. Wát een goal. #ausned",1
"Foutenfestival gaat nu ook in de doelpunten verder. Zonde....#ausned",0
"Nog 2 goals nederland en mijn voorspelling klopt :D",0
